Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 146, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.517
Training Epoch 147, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.597
Training Epoch 148, Training Accuracy:  78.1%, Validation Accuracy:  78.1%,  Validation Loss: 0.512
Training Epoch 149, Training Accuracy:  78.1%, Validation Accuracy:  65.6%,  Validation Loss: 0.592
Training Epoch 150, Training Accuracy:  75.0%, Validation Accuracy:  81.2%,  Validation Loss: 0.506
Training Epoch 151, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.587
Training Epoch 152, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.501
Training Epoch 153, Training Accuracy:  68.8%, Validation Accuracy:  65.6%,  Validation Loss: 0.582
Training Epoch 154, Training Accuracy:  68.8%, Validation Accuracy:  81.2%,  Validation Loss: 0.497
Training Epoch 155, Training Accuracy:  68.8%, Validation Accuracy:  68.8%,  Validation Loss: 0.578
Training Epoch 156, Training Accuracy:  65.6%, Validation Accuracy:  81.2%,  Validation Loss: 0.493
Training Epoch 157, Training Accuracy:  65.6%, Validation Accuracy:  71.9%,  Validation Loss: 0.575
Training Epoch 158, Training Accuracy:  65.6%, Validation Accuracy:  81.2%,  Validation Loss: 0.488
Training Epoch 159, Training Accuracy:  65.6%, Validation Accuracy:  71.9%,  Validation Loss: 0.571
Training Epoch 160, Training Accuracy:  65.6%, Validation Accuracy:  81.2%,  Validation Loss: 0.485
Training Epoch 161, Training Accuracy:  65.6%, Validation Accuracy:  71.9%,  Validation Loss: 0.568
Training Epoch 162, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.481
Training Epoch 163, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.565
Training Epoch 164, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.478
Training Epoch 165, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.562
Training Epoch 166, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.475
Training Epoch 167, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.560
Training Epoch 168, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.472
Training Epoch 169, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.557
Training Epoch 170, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.470
Training Epoch 171, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.555
Training Epoch 172, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.467
Training Epoch 173, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.553
Training Epoch 174, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.465
Training Epoch 175, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.551
Training Epoch 176, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.463
Training Epoch 177, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.549
Training Epoch 178, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.461
Training Epoch 179, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.548
Training Epoch 180, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.459
Training Epoch 181, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.546
Training Epoch 182, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.457
Training Epoch 183, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.544
Training Epoch 184, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.455
Training Epoch 185, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.543
Training Epoch 186, Training Accuracy:  71.9%, Validation Accuracy:  84.4%,  Validation Loss: 0.453
Training Epoch 187, Training Accuracy:  71.9%, Validation Accuracy:  71.9%,  Validation Loss: 0.542
Training Epoch 188, Training Accuracy:  71.9%, Validation Accuracy:  84.4%,  Validation Loss: 0.452
Training Epoch 189, Training Accuracy:  71.9%, Validation Accuracy:  71.9%,  Validation Loss: 0.540
Training Epoch 190, Training Accuracy:  71.9%, Validation Accuracy:  84.4%,  Validation Loss: 0.450
Training Epoch 191, Training Accuracy:  71.9%, Validation Accuracy:  71.9%,  Validation Loss: 0.539
Training Epoch 192, Training Accuracy:  71.9%, Validation Accuracy:  84.4%,  Validation Loss: 0.448
Training Epoch 193, Training Accuracy:  71.9%, Validation Accuracy:  71.9%,  Validation Loss: 0.538
Training Epoch 194, Training Accuracy:  71.9%, Validation Accuracy:  84.4%,  Validation Loss: 0.447
Training Epoch 195, Training Accuracy:  71.9%, Validation Accuracy:  71.9%,  Validation Loss: 0.537
Training Epoch 196, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.446
Training Epoch 197, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.536
Training Epoch 198, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.444
Training Epoch 199, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.535
Training Epoch 200, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.443
Training Epoch 201, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.534
Training Epoch 202, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.442
Training Epoch 203, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.533
Training Epoch 204, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.441
Training Epoch 205, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.532
Training Epoch 206, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.440
Training Epoch 207, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.532
Training Epoch 208, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.439
Training Epoch 209, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.531
Training Epoch 210, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.438
Training Epoch 211, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.530
Training Epoch 212, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.437
Training Epoch 213, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.529
Training Epoch 214, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.436
Training Epoch 215, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.529
Training Epoch 216, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.436
Training Epoch 217, Training Accuracy:  68.8%, Validation Accuracy:  71.9%,  Validation Loss: 0.528
Training Epoch 218, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.435
Training Epoch 219, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.527
Training Epoch 220, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.435
Training Epoch 221, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.527
Training Epoch 222, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.434
Training Epoch 223, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.526
Training Epoch 224, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.433
Training Epoch 225, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.526
Training Epoch 226, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.432
Training Epoch 227, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.525
Training Epoch 228, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.432
Training Epoch 229, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.525
Training Epoch 230, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.431
Training Epoch 231, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.524
Training Epoch 232, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.430
Training Epoch 233, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.524
Training Epoch 234, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.429
Training Epoch 235, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.523
Training Epoch 236, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.429
Training Epoch 237, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.523
Training Epoch 238, Training Accuracy:  68.8%, Validation Accuracy:  84.4%,  Validation Loss: 0.428
Training Epoch 239, Training Accuracy:  68.8%, Validation Accuracy:  75.0%,  Validation Loss: 0.523
