Going to read training images
Now going to read 0 files (Index: 0)
Now going to read 1 files (Index: 1)
Now going to read 2 files (Index: 2)
Complete reading input data. Will Now print a snippet of it
Number of files in Training-set:		371
Number of files in Validation-set:	92
Training Epoch 107, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.980
Training Epoch 108, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 0.982
Training Epoch 109, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.904
Training Epoch 110, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.895
Training Epoch 111, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.983
Training Epoch 112, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.970
Training Epoch 113, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 0.973
Training Epoch 114, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.893
Training Epoch 115, Training Accuracy:  75.0%, Validation Accuracy:  62.5%,  Validation Loss: 0.883
Training Epoch 116, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.973
Training Epoch 117, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.959
Training Epoch 118, Training Accuracy:  75.0%, Validation Accuracy:  43.8%,  Validation Loss: 0.963
Training Epoch 119, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.882
Training Epoch 120, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.870
Training Epoch 121, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.964
Training Epoch 122, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.948
Training Epoch 123, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.953
Training Epoch 124, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.871
Training Epoch 125, Training Accuracy:  75.0%, Validation Accuracy:  68.8%,  Validation Loss: 0.858
Training Epoch 126, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.954
Training Epoch 127, Training Accuracy:  75.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.937
Training Epoch 128, Training Accuracy:  75.0%, Validation Accuracy:  50.0%,  Validation Loss: 0.943
Training Epoch 129, Training Accuracy:  75.0%, Validation Accuracy:  75.0%,  Validation Loss: 0.859
